Date,Time,PU_Address
7/1/2014,12:00:00 AM," 2396 Valentine Ave Fordham, BX"
7/1/2014,12:01:00 AM," 1859 Walton Ave Morris Heights, BX"
7/1/2014,12:02:00 AM," 2431 Jerome Ave Jerome, BX"
7/1/2014,12:05:00 AM," 3044 Valentine Ave Fordham, BX"
7/1/2014,12:05:00 AM," 1085 Nelson Ave High Bridge, BX"
7/1/2014,12:06:00 AM, 2185 Hone Ave Bronx
7/1/2014,12:07:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,12:09:00 AM," 2952 Marion Ave Fordham, BX"
7/1/2014,12:10:00 AM," 2251 Sedgwick Ave Jerome, BX"
7/1/2014,12:10:00 AM," 1608 Melville St Westfarms, BX"
7/1/2014,12:12:00 AM," 2304 Sedgwick Ave Jerome, BX"
7/1/2014,12:12:00 AM," 2085 Valentine Ave Tremont, BX"
7/1/2014,12:14:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,12:14:00 AM," 421 E 168th St Morrisania, BX"
7/1/2014,12:15:00 AM," 2055 Harrison Ave Morris Heights, BX"
7/1/2014,12:18:00 AM," 707 E 187th St Fordham, BX"
7/1/2014,12:18:00 AM,main 3716 10 Ave NYC
7/1/2014,12:21:00 AM,"HOTEL 1300 Sedgwick Ave High Bridge, BX"
7/1/2014,12:22:00 AM,"rest parrilla 2501 Webster Ave Fordham, BX"
7/1/2014,12:24:00 AM, 1520 Sedgwick Ave Bronx
7/1/2014,12:25:00 AM," 3308 Bailey Ave Kingsbridge, BX"
7/1/2014,12:27:00 AM," 2427 Webster Ave Fordham, BX"
7/1/2014,12:27:00 AM," 2309 Loring Pl N Jerome, BX"
7/1/2014,12:28:00 AM, 1344 Fulton Ave Bronx
7/1/2014,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,12:30:00 AM,"BASE 170 W Fordham Rd Jerome, BX"
7/1/2014,12:32:00 AM," 79 W 182nd St Morris Heights, BX"
7/1/2014,12:34:00 AM, 1045 Anderson Ave Bronx
7/1/2014,12:34:00 AM," 2262 Loring Pl N Jerome, BX"
7/1/2014,12:38:00 AM,"MENOR 2505 University Ave Jerome, BX"
7/1/2014,12:39:00 AM," 227 E 203rd St Fordham, BX"
7/1/2014,12:39:00 AM,"EMERGENCIA NE 3rd Ave Tremont, BX"
7/1/2014,12:39:00 AM," 2410 Walton Ave Jerome, BX"
7/1/2014,12:40:00 AM,METRO NORTH SW RIVER PARK TOWERS Bronx
7/1/2014,12:40:00 AM," 2515 University Ave Jerome, BX"
7/1/2014,12:40:00 AM," 60 E 196th St Jerome, BX"
